,straat,huisnr,adres,vergunning,vergund tot
350,Schoonveld,188,Schoonveld 188,nachthoreca,2027-06-14
351,Schoklandsestraat,1,Schoklandsestraat 1,exploitatievergunning,2024-01-31
352,Innsbruckweg,124,Innsbruckweg 124,omgevingsvergunning,2025-09-09
353,Maashavenstraat,88,Maashavenstraat 88,nachthoreca,2022-09-22
354,F. Bordewijkstraat,143,F. Bordewijkstraat 143,omgevingsvergunning,2023-02-04
355,Korte Stadionweg,41,Korte Stadionweg 41,nachthoreca,2022-06-24
356,Van Alkemadestraat,140,Van Alkemadestraat 140,terrasvergunning,2027-05-01
357,Rondoplein,171,Rondoplein 171,nachthoreca,2026-07-27
358,Boeierstraat,78,Boeierstraat 78,nachthoreca,2026-04-21
359,Kornelis van Tollaan,96,Kornelis van Tollaan 96,nachthoreca,2022-07-19
360,Kratonkade,42,Kratonkade 42,exploitatievergunning,2023-05-26
361,'s-Gravenwetering,174,'s-Gravenwetering 174,terrasvergunning,2024-03-23
362,Groene Wetering,43,Groene Wetering 43,exploitatievergunning,2027-06-04
363,Stekelbrem,36,Stekelbrem 36,omgevingsvergunning,2024-11-15
364,IJselstraat,127,IJselstraat 127,omgevingsvergunning,2023-03-08
365,Mathildestraat,52,Mathildestraat 52,nachthoreca,2026-04-06
366,Maarten Dijkshoornlaan,164,Maarten Dijkshoornlaan 164,omgevingsvergunning,2025-05-07
367,Jan de Snoostraat,71,Jan de Snoostraat 71,alcoholvergunning,2026-06-11
368,Dadeltuin,29,Dadeltuin 29,nachthoreca,2022-12-04
369,De Lugt,87,De Lugt 87,alcoholvergunning,2026-12-17
370,Sara Cornelia Molen,10,Sara Cornelia Molen 10,terrasvergunning,2026-10-17
371,Koolzaadstraat,20,Koolzaadstraat 20,nachthoreca,2025-05-15
372,Meidoornlaan,169,Meidoornlaan 169,terrasvergunning,2023-02-01
373,Voorstraat,80,Voorstraat 80,alcoholvergunning,2026-03-27
374,Korte Dijkstraat,63,Korte Dijkstraat 63,nachthoreca,2024-06-14
375,Chabotlaan,138,Chabotlaan 138,terrasvergunning,2024-11-16
376,Simone de Beauvoirstraat,181,Simone de Beauvoirstraat 181,terrasvergunning,2026-08-08
377,Stavangererf,38,Stavangererf 38,alcoholvergunning,2025-03-07
378,Jan Willem Frisostraat,84,Jan Willem Frisostraat 84,terrasvergunning,2025-06-20
379,Albert Schweitzerplaats,88,Albert Schweitzerplaats 88,exploitatievergunning,2024-11-21
380,Heiligenbloem,137,Heiligenbloem 137,terrasvergunning,2026-02-07
381,Kranebittenbaan,100,Kranebittenbaan 100,terrasvergunning,2023-08-06
382,Goudkruid,43,Goudkruid 43,exploitatievergunning,2026-06-07
383,Michelangelostraat,16,Michelangelostraat 16,exploitatievergunning,2025-08-14
384,Islemundastraat,57,Islemundastraat 57,exploitatievergunning,2025-10-26
385,Prins Hendrikkade,108,Prins Hendrikkade 108,omgevingsvergunning,2026-02-05
386,Anthoniestraat,4,Anthoniestraat 4,nachthoreca,2025-09-10
387,Fluitstraat,196,Fluitstraat 196,omgevingsvergunning,2025-06-04
388,Irisplein,19,Irisplein 19,nachthoreca,2023-12-26
389,Joseph Israëlslaan,76,Joseph Israëlslaan 76,terrasvergunning,2026-09-18
390,Robert Kochplaats,47,Robert Kochplaats 47,terrasvergunning,2025-08-24
391,Verboomstraat,129,Verboomstraat 129,exploitatievergunning,2025-10-04
392,Edam,97,Edam 97,alcoholvergunning,2023-06-17
393,Zagwijnlaan,13,Zagwijnlaan 13,alcoholvergunning,2024-06-28
394,Duyststraat,49,Duyststraat 49,alcoholvergunning,2024-03-16
395,Liede,6,Liede 6,alcoholvergunning,2023-03-25
396,Kabeljauwsestraat,63,Kabeljauwsestraat 63,alcoholvergunning,2024-07-21
397,Vroesenlaan,168,Vroesenlaan 168,terrasvergunning,2025-01-27
398,Philips Willemstraat,7,Philips Willemstraat 7,nachthoreca,2025-04-26
399,Watergeusstraat,43,Watergeusstraat 43,omgevingsvergunning,2023-09-17
400,Sluiskreek,93,Sluiskreek 93,alcoholvergunning,2027-05-29
401,Putsebocht,47,Putsebocht 47,nachthoreca,2023-09-04
402,Westerstraat,61,Westerstraat 61,omgevingsvergunning,2024-08-15
403,Wissekerkestraat,113,Wissekerkestraat 113,omgevingsvergunning,2026-12-06
404,Wegedoorn,19,Wegedoorn 19,alcoholvergunning,2026-01-03
405,Bolnesserkade,25,Bolnesserkade 25,nachthoreca,2025-04-25
406,Bizetlaan,53,Bizetlaan 53,omgevingsvergunning,2026-06-29
407,Wigboldstraat,120,Wigboldstraat 120,alcoholvergunning,2026-11-01
408,Calspad,182,Calspad 182,alcoholvergunning,2026-01-01
409,De Lormestraat,70,De Lormestraat 70,nachthoreca,2025-11-30
410,Berkenwoudestraat,156,Berkenwoudestraat 156,exploitatievergunning,2026-12-21
411,Maartje den Outerstraat,130,Maartje den Outerstraat 130,omgevingsvergunning,2023-01-21
412,Karel de Stouteplein,137,Karel de Stouteplein 137,terrasvergunning,2024-04-01
413,Snauwstraat,78,Snauwstraat 78,terrasvergunning,2025-07-24
414,Carel Willinksingel,95,Carel Willinksingel 95,nachthoreca,2025-01-21
415,Pijpbloem,61,Pijpbloem 61,nachthoreca,2023-11-07
416,Neptunusstraat,197,Neptunusstraat 197,terrasvergunning,2022-07-11
417,Hagedoornstraat,159,Hagedoornstraat 159,exploitatievergunning,2024-07-14
418,2e Goudsewagenhof,197,2e Goudsewagenhof 197,alcoholvergunning,2022-11-17
419,Sandhorst,73,Sandhorst 73,terrasvergunning,2023-06-28
420,Willem Hedaweg,59,Willem Hedaweg 59,omgevingsvergunning,2024-09-07
421,Kamperfoeliestraat,92,Kamperfoeliestraat 92,terrasvergunning,2024-07-03
422,Janne Bouwensstraat,9,Janne Bouwensstraat 9,alcoholvergunning,2027-02-22
423,Alex de Haasstraat,155,Alex de Haasstraat 155,alcoholvergunning,2027-01-31
424,Korfmakersstraat,190,Korfmakersstraat 190,omgevingsvergunning,2023-10-08
425,Buitenhofstraat,62,Buitenhofstraat 62,omgevingsvergunning,2023-01-25
426,Tolhuisbocht,36,Tolhuisbocht 36,terrasvergunning,2025-10-07
427,Gelebrem,157,Gelebrem 157,exploitatievergunning,2027-05-02
428,Pierre Baylestraat,143,Pierre Baylestraat 143,terrasvergunning,2023-04-04
429,Griendwerkerstraat,13,Griendwerkerstraat 13,omgevingsvergunning,2026-06-30
430,Mijnkintstraat,166,Mijnkintstraat 166,alcoholvergunning,2023-08-09
431,Pluimhoefstraat,108,Pluimhoefstraat 108,terrasvergunning,2022-11-30
432,Wateroord,106,Wateroord 106,terrasvergunning,2022-06-28
433,Admiraliteitsstraat,166,Admiraliteitsstraat 166,omgevingsvergunning,2027-01-14
434,Akkabapad,66,Akkabapad 66,terrasvergunning,2023-12-06
435,Kleine Beer,49,Kleine Beer 49,omgevingsvergunning,2024-11-22
436,Zoutmanstraat,152,Zoutmanstraat 152,terrasvergunning,2026-06-30
437,Lusthofstraat,117,Lusthofstraat 117,terrasvergunning,2024-05-10
438,Van Traaplaats,24,Van Traaplaats 24,nachthoreca,2022-10-20
439,Hoogaarspad,108,Hoogaarspad 108,omgevingsvergunning,2025-10-18
440,Spiegelnisserkade,1,Spiegelnisserkade 1,nachthoreca,2025-10-15
441,Gemertwal,23,Gemertwal 23,omgevingsvergunning,2024-03-23
442,Mathildestraat,145,Mathildestraat 145,nachthoreca,2022-10-12
443,Akkeroord,109,Akkeroord 109,terrasvergunning,2025-03-01
444,Palmentuin,135,Palmentuin 135,omgevingsvergunning,2024-09-27
445,Prinsemolenpad,131,Prinsemolenpad 131,terrasvergunning,2025-12-11
446,Oude Kleiweg,145,Oude Kleiweg 145,terrasvergunning,2025-04-12
447,Theseusstraat,63,Theseusstraat 63,nachthoreca,2026-04-15
448,Cronesteinstraat,45,Cronesteinstraat 45,nachthoreca,2026-12-03
449,Mathildestraat,186,Mathildestraat 186,omgevingsvergunning,2025-07-15
450,Myrdalhof,18,Myrdalhof 18,alcoholvergunning,2026-07-21
451,Jan van Loonshof,174,Jan van Loonshof 174,nachthoreca,2026-12-11
452,Streijenhagen,159,Streijenhagen 159,exploitatievergunning,2026-09-22
453,Hendrik van Winkelhofstraat,193,Hendrik van Winkelhofstraat 193,omgevingsvergunning,2024-08-11
454,Linker Veerdam,17,Linker Veerdam 17,alcoholvergunning,2025-07-25
455,C.N.A.Looslaan,7,C.N.A.Looslaan 7,nachthoreca,2024-02-14
456,Voermanweg,8,Voermanweg 8,nachthoreca,2024-06-24
457,Samuel Mullerstraat,120,Samuel Mullerstraat 120,omgevingsvergunning,2024-05-15
458,Middellandplein,14,Middellandplein 14,nachthoreca,2024-10-20
459,Janey Tetarypad,54,Janey Tetarypad 54,alcoholvergunning,2025-06-20
460,Contenderstraat,142,Contenderstraat 142,terrasvergunning,2025-01-20
461,Laan van Magisch Realisme,47,Laan van Magisch Realisme 47,nachthoreca,2026-02-28
462,Van den Hoonaardsingel,147,Van den Hoonaardsingel 147,terrasvergunning,2027-04-07
463,Boterdiep,189,Boterdiep 189,nachthoreca,2025-08-02
464,Blijvenburgstraat,152,Blijvenburgstraat 152,alcoholvergunning,2025-12-30
465,Hulsterlo,149,Hulsterlo 149,omgevingsvergunning,2025-11-06
466,Slikkerveerstraat,26,Slikkerveerstraat 26,omgevingsvergunning,2025-03-21
467,Maarland,185,Maarland 185,nachthoreca,2023-09-22
468,Schout Van der Lelylaan,119,Schout Van der Lelylaan 119,exploitatievergunning,2026-01-12
469,Narcissenstraat,62,Narcissenstraat 62,omgevingsvergunning,2026-07-10
470,Mozartlaan,186,Mozartlaan 186,alcoholvergunning,2025-05-04
471,De Mussetstraat,49,De Mussetstraat 49,nachthoreca,2022-12-02
472,Hoyledestraat,140,Hoyledestraat 140,alcoholvergunning,2024-05-19
473,Victor E. van Vrieslandstraat,69,Victor E. van Vrieslandstraat 69,nachthoreca,2022-09-21
474,Stadhuisplein,101,Stadhuisplein 101,exploitatievergunning,2026-06-26
475,Annie Romein-Verschoorhof,59,Annie Romein-Verschoorhof 59,nachthoreca,2022-08-08
476,Henri Matissestraat,23,Henri Matissestraat 23,terrasvergunning,2024-03-29
477,Witte de Withstraat,186,Witte de Withstraat 186,nachthoreca,2022-08-03
478,Chico Mendesstraat,191,Chico Mendesstraat 191,omgevingsvergunning,2023-07-23
479,Geldersekade,192,Geldersekade 192,alcoholvergunning,2026-07-14
480,Kouwenoord,71,Kouwenoord 71,omgevingsvergunning,2022-06-16
481,Max Woiskistraat,138,Max Woiskistraat 138,omgevingsvergunning,2022-08-16
482,Entrepotstraat,123,Entrepotstraat 123,omgevingsvergunning,2023-01-15
483,Bombaystraat,153,Bombaystraat 153,omgevingsvergunning,2023-10-18
484,Schorpioenstraat,92,Schorpioenstraat 92,nachthoreca,2025-07-14
485,Van der Schellingstraat,52,Van der Schellingstraat 52,omgevingsvergunning,2025-03-15
486,Toulondreef,132,Toulondreef 132,nachthoreca,2026-07-05
487,Speerdistel,8,Speerdistel 8,omgevingsvergunning,2024-04-21
488,Dorpshof,144,Dorpshof 144,omgevingsvergunning,2024-07-10
489,Pelmolenstraat,167,Pelmolenstraat 167,terrasvergunning,2022-08-24
490,Vuurpijlstraat,156,Vuurpijlstraat 156,nachthoreca,2024-01-28
491,Meester Marrestraat,183,Meester Marrestraat 183,nachthoreca,2023-05-23
492,Marshallweg,165,Marshallweg 165,nachthoreca,2027-04-25
493,Moordrechtstraat,126,Moordrechtstraat 126,terrasvergunning,2024-07-30
494,Hogerbeetsstraat,168,Hogerbeetsstraat 168,nachthoreca,2027-04-02
495,Loeki Metzstraat,169,Loeki Metzstraat 169,alcoholvergunning,2024-01-26
496,Kaapstraat,28,Kaapstraat 28,nachthoreca,2024-09-04
497,Rauwenhoffplein,143,Rauwenhoffplein 143,exploitatievergunning,2024-06-02
498,Blankenburgstraat,86,Blankenburgstraat 86,alcoholvergunning,2023-10-31
499,Catharina Beersmansstraat,97,Catharina Beersmansstraat 97,terrasvergunning,2022-08-03
500,Ernest Claespad,163,Ernest Claespad 163,alcoholvergunning,2027-01-02
501,Benthuizerstraat,177,Benthuizerstraat 177,omgevingsvergunning,2025-02-10
502,Watermeterpad,134,Watermeterpad 134,exploitatievergunning,2027-03-31
503,Admiraliteitsstraat,178,Admiraliteitsstraat 178,terrasvergunning,2027-02-19
504,Statenlaan,36,Statenlaan 36,omgevingsvergunning,2026-09-06
505,Palissanderstraat,35,Palissanderstraat 35,exploitatievergunning,2026-02-22
506,Populierenlaan,51,Populierenlaan 51,omgevingsvergunning,2024-08-21
507,Piet van der Meerhof,69,Piet van der Meerhof 69,terrasvergunning,2023-04-29
508,P.C.Hooftplein,194,P.C.Hooftplein 194,exploitatievergunning,2024-09-22
509,Hendrik Lansbergenstraat,34,Hendrik Lansbergenstraat 34,nachthoreca,2026-09-07
510,Blaak,102,Blaak 102,nachthoreca,2027-05-02
511,Gemshoorn,147,Gemshoorn 147,exploitatievergunning,2025-12-27
512,Boris Pasternakstraat,165,Boris Pasternakstraat 165,terrasvergunning,2026-02-03
513,Kromme Elleboog,77,Kromme Elleboog 77,terrasvergunning,2024-03-04
514,Merbaustraat,31,Merbaustraat 31,exploitatievergunning,2023-07-05
515,Baloeranstraat,32,Baloeranstraat 32,omgevingsvergunning,2023-03-23
516,Bermweg,114,Bermweg 114,terrasvergunning,2026-08-01
517,Wessel Gansfortweg,183,Wessel Gansfortweg 183,nachthoreca,2024-01-26
518,Bordeauxdreef,112,Bordeauxdreef 112,omgevingsvergunning,2024-08-26
519,Zuster Hennekeplein,155,Zuster Hennekeplein 155,omgevingsvergunning,2025-07-10
520,Daltonlaan,31,Daltonlaan 31,exploitatievergunning,2026-02-28
521,Nieuw-Vossemeerweg,152,Nieuw-Vossemeerweg 152,terrasvergunning,2027-05-17
522,Dirkslandstraat,172,Dirkslandstraat 172,alcoholvergunning,2025-10-20
523,Kees van Dongenhof,113,Kees van Dongenhof 113,omgevingsvergunning,2026-03-27
524,Meiland,128,Meiland 128,exploitatievergunning,2022-12-02
525,Lemkensstraat,103,Lemkensstraat 103,nachthoreca,2025-12-13
526,Kees van Hasseltstraat,77,Kees van Hasseltstraat 77,omgevingsvergunning,2024-08-03
527,Welschapstraat,46,Welschapstraat 46,nachthoreca,2026-09-19
528,Maskerbloemstraat,141,Maskerbloemstraat 141,exploitatievergunning,2026-02-21
529,Eemstein,7,Eemstein 7,omgevingsvergunning,2023-04-26
530,Van de Leckestraat,181,Van de Leckestraat 181,alcoholvergunning,2023-03-23
531,Wijnkade,74,Wijnkade 74,exploitatievergunning,2026-10-26
532,Oudedijkse Schiekade,120,Oudedijkse Schiekade 120,exploitatievergunning,2022-11-06
533,Rederijstraat,31,Rederijstraat 31,exploitatievergunning,2025-02-17
534,Wodanstraat,7,Wodanstraat 7,exploitatievergunning,2025-10-17
535,Almstein,17,Almstein 17,alcoholvergunning,2025-01-08
536,Molgerdijk,92,Molgerdijk 92,omgevingsvergunning,2025-07-19
537,Directiekade,114,Directiekade 114,terrasvergunning,2023-05-06
538,Barcelonastraat,18,Barcelonastraat 18,nachthoreca,2023-11-06
539,Robbensingel,35,Robbensingel 35,nachthoreca,2025-06-16
540,Stadshagen,78,Stadshagen 78,omgevingsvergunning,2022-12-24
541,Secretariestraat,99,Secretariestraat 99,terrasvergunning,2023-03-20
542,Noorderbocht,4,Noorderbocht 4,terrasvergunning,2022-12-03
543,Sleutelring,13,Sleutelring 13,omgevingsvergunning,2023-04-17
544,Vriendenlaan,7,Vriendenlaan 7,alcoholvergunning,2022-08-10
545,Nieuwpoortstraat,193,Nieuwpoortstraat 193,alcoholvergunning,2023-11-30
546,Anthony Cankrienstraat,61,Anthony Cankrienstraat 61,omgevingsvergunning,2024-06-29
547,Nieuwemarkt,131,Nieuwemarkt 131,nachthoreca,2024-01-24
548,Moerkapellestraat,34,Moerkapellestraat 34,alcoholvergunning,2026-11-06
549,Nederhorst,185,Nederhorst 185,terrasvergunning,2026-05-24
550,Francis Picabiastraat,22,Francis Picabiastraat 22,alcoholvergunning,2022-11-03
551,Antilopestraat,42,Antilopestraat 42,nachthoreca,2022-10-26
552,Martinus Burkensstraat,134,Martinus Burkensstraat 134,exploitatievergunning,2022-08-20
553,Ulaanbaatarplein,47,Ulaanbaatarplein 47,exploitatievergunning,2027-03-29
554,Schoklandsestraat,49,Schoklandsestraat 49,omgevingsvergunning,2026-08-24
555,Develstraat,168,Develstraat 168,terrasvergunning,2027-04-13
556,Soerweg,147,Soerweg 147,terrasvergunning,2022-10-31
557,Doelwater,39,Doelwater 39,nachthoreca,2026-07-30
558,Schiekade,2,Schiekade 2,alcoholvergunning,2023-05-16
559,Pimpernelstraat,141,Pimpernelstraat 141,nachthoreca,2023-06-08
560,Hannekemaaierweg,60,Hannekemaaierweg 60,omgevingsvergunning,2024-07-08
561,Wilgenstraat,148,Wilgenstraat 148,exploitatievergunning,2024-06-08
562,Jan Jacob Slauerhoffstraat,73,Jan Jacob Slauerhoffstraat 73,exploitatievergunning,2023-10-30
563,Freek van Leeuwenstraat,57,Freek van Leeuwenstraat 57,alcoholvergunning,2026-11-23
564,Wilgensingel,72,Wilgensingel 72,nachthoreca,2023-11-14
565,Mijlpad,160,Mijlpad 160,terrasvergunning,2022-11-01
566,Albertus de Voogtstraat,104,Albertus de Voogtstraat 104,omgevingsvergunning,2024-01-17
567,Louis Couperusstraat,78,Louis Couperusstraat 78,nachthoreca,2024-02-20
568,Hontenissestraat,115,Hontenissestraat 115,alcoholvergunning,2024-02-15
569,Burgemeester Le Fèvre de Montignylaan,60,Burgemeester Le Fèvre de Montignylaan 60,nachthoreca,2024-10-07
570,Boomkleverstraat,45,Boomkleverstraat 45,exploitatievergunning,2026-11-02
571,Gemertwal,21,Gemertwal 21,omgevingsvergunning,2025-11-07
572,Hendrik Lansbergenstraat,53,Hendrik Lansbergenstraat 53,omgevingsvergunning,2024-11-03
573,Kamerlingh Onnesweg,103,Kamerlingh Onnesweg 103,alcoholvergunning,2022-07-20
574,Tsjaikofskilaan,160,Tsjaikofskilaan 160,terrasvergunning,2024-12-30
575,Stikkerpad,83,Stikkerpad 83,exploitatievergunning,2026-08-21
576,Hudsonplein,149,Hudsonplein 149,exploitatievergunning,2025-09-02
577,Gijsingstraat,23,Gijsingstraat 23,alcoholvergunning,2026-06-05
578,Spiekmanstraat,39,Spiekmanstraat 39,exploitatievergunning,2024-04-24
579,Finsestraat,90,Finsestraat 90,terrasvergunning,2025-04-12
580,Essenweg,62,Essenweg 62,omgevingsvergunning,2026-06-08
581,Spanjaardstraat,107,Spanjaardstraat 107,exploitatievergunning,2023-10-25
582,Cilinderstraat,19,Cilinderstraat 19,nachthoreca,2023-08-20
583,Overwegwachter,162,Overwegwachter 162,omgevingsvergunning,2025-12-19
584,Dumasstraat,6,Dumasstraat 6,nachthoreca,2026-05-26
585,Hooglandstraat,103,Hooglandstraat 103,terrasvergunning,2023-05-24
586,De Lamartinestraat,94,De Lamartinestraat 94,exploitatievergunning,2027-02-27
587,Piet Knoppertstraat,164,Piet Knoppertstraat 164,alcoholvergunning,2026-05-26
588,Bellevoysstraat,92,Bellevoysstraat 92,alcoholvergunning,2026-11-18
589,Jan van Weeldenstraat,11,Jan van Weeldenstraat 11,terrasvergunning,2024-12-19
590,Burgemeester Koningssingel,161,Burgemeester Koningssingel 161,nachthoreca,2025-11-20
591,Grieglaan,186,Grieglaan 186,alcoholvergunning,2024-11-20
592,Vissteeg,112,Vissteeg 112,terrasvergunning,2025-11-03
593,Maracas,152,Maracas 152,nachthoreca,2024-06-13
594,Erasmussingel,170,Erasmussingel 170,omgevingsvergunning,2024-11-03
595,Schiehaven,36,Schiehaven 36,omgevingsvergunning,2025-04-07
596,Metroplein,64,Metroplein 64,nachthoreca,2026-11-24
597,Aagje Dekenstraat,20,Aagje Dekenstraat 20,exploitatievergunning,2023-05-05
598,Maasstraat,133,Maasstraat 133,omgevingsvergunning,2025-01-07
599,Rondewei,94,Rondewei 94,omgevingsvergunning,2024-07-18
600,Maaskade,79,Maaskade 79,exploitatievergunning,2024-02-15
601,Leliënstein,123,Leliënstein 123,alcoholvergunning,2026-10-18
602,Nico van der Valkweg,26,Nico van der Valkweg 26,exploitatievergunning,2024-07-10
603,Zuideinde,106,Zuideinde 106,alcoholvergunning,2025-12-18
604,Endeldijk,113,Endeldijk 113,exploitatievergunning,2023-06-27
605,Schapegras,26,Schapegras 26,nachthoreca,2025-05-04
606,Eemhavenstraat,48,Eemhavenstraat 48,alcoholvergunning,2024-07-06
607,Samoshof,153,Samoshof 153,nachthoreca,2025-06-15
608,Jacques Perkstraat,19,Jacques Perkstraat 19,terrasvergunning,2022-09-26
609,Blaauwstraat,48,Blaauwstraat 48,alcoholvergunning,2024-12-04
610,Palmentuin,4,Palmentuin 4,omgevingsvergunning,2024-07-03
611,Korte Poolsterstraat,61,Korte Poolsterstraat 61,omgevingsvergunning,2026-11-23
612,Strobloemstraat,171,Strobloemstraat 171,omgevingsvergunning,2023-11-13
613,Korte Kleiweg,178,Korte Kleiweg 178,nachthoreca,2023-07-27
614,Boergoensevliet,103,Boergoensevliet 103,alcoholvergunning,2025-10-07
615,Schans,24,Schans 24,terrasvergunning,2027-02-22
616,Mathenesserstraat,193,Mathenesserstraat 193,alcoholvergunning,2026-10-03
617,Familie Brillenburg Wurthstraat,29,Familie Brillenburg Wurthstraat 29,nachthoreca,2024-12-11
618,Jacques Dutilhweg,122,Jacques Dutilhweg 122,alcoholvergunning,2026-11-01
619,Nachtschadestraat,99,Nachtschadestraat 99,exploitatievergunning,2026-01-12
620,Medinastraat,38,Medinastraat 38,omgevingsvergunning,2022-11-08
621,Van Harenstraat,17,Van Harenstraat 17,nachthoreca,2025-01-27
622,Maasstraat,120,Maasstraat 120,exploitatievergunning,2024-09-11
623,Schobbelantstraat,187,Schobbelantstraat 187,exploitatievergunning,2022-07-21
624,Karveelpad,105,Karveelpad 105,alcoholvergunning,2026-07-16
625,Roodborststraat,110,Roodborststraat 110,terrasvergunning,2027-06-06
626,Bijenpark,199,Bijenpark 199,terrasvergunning,2023-11-07
627,Van Aelststraat,103,Van Aelststraat 103,alcoholvergunning,2022-09-29
628,Port-Saidstraat,161,Port-Saidstraat 161,exploitatievergunning,2025-06-27
629,Vissersdijk,108,Vissersdijk 108,nachthoreca,2026-08-16
630,Sara Cornelia Molen,59,Sara Cornelia Molen 59,omgevingsvergunning,2025-02-16
631,Smitshoekseweg,187,Smitshoekseweg 187,omgevingsvergunning,2026-02-05
632,Duyststraat,165,Duyststraat 165,terrasvergunning,2027-02-17
633,Schiebroeksestraat,198,Schiebroeksestraat 198,omgevingsvergunning,2025-11-29
634,Schiedamse Vest,54,Schiedamse Vest 54,terrasvergunning,2023-08-31
635,Jean Monnetstraat,7,Jean Monnetstraat 7,terrasvergunning,2023-12-21
636,Prinsemolenpad,193,Prinsemolenpad 193,exploitatievergunning,2025-03-23
637,Jacobus van Vessemsingel,104,Jacobus van Vessemsingel 104,terrasvergunning,2026-01-24
638,Marten Meesweg,119,Marten Meesweg 119,terrasvergunning,2023-09-03
639,Nieuw-Mathenesserstraat,108,Nieuw-Mathenesserstraat 108,alcoholvergunning,2027-03-02
640,Schipholstraat,102,Schipholstraat 102,alcoholvergunning,2024-08-30
641,Korte Bajonetstraat,159,Korte Bajonetstraat 159,alcoholvergunning,2026-11-15
642,S. van Ravesteynkade,53,S. van Ravesteynkade 53,terrasvergunning,2025-07-07
643,Schiebroeksesingel,158,Schiebroeksesingel 158,omgevingsvergunning,2027-04-03
644,François Nivardstraat,86,François Nivardstraat 86,omgevingsvergunning,2026-06-15
645,Stokviswater,191,Stokviswater 191,alcoholvergunning,2022-09-05
646,Meidoornsingel,21,Meidoornsingel 21,alcoholvergunning,2026-12-06
647,Sandenburgbaan,62,Sandenburgbaan 62,terrasvergunning,2022-12-03
648,Catharina Roodzantpad,144,Catharina Roodzantpad 144,nachthoreca,2022-08-10
649,Visbyerf,75,Visbyerf 75,exploitatievergunning,2024-12-30
650,Hornetstraat,136,Hornetstraat 136,nachthoreca,2023-09-19
651,Hazendijk,102,Hazendijk 102,terrasvergunning,2026-06-10
652,Dijkje,98,Dijkje 98,exploitatievergunning,2027-03-28
653,Salvador Dalístraat,102,Salvador Dalístraat 102,exploitatievergunning,2023-05-08
654,Geuneburg,91,Geuneburg 91,nachthoreca,2023-01-25
655,Boekenstein,144,Boekenstein 144,exploitatievergunning,2025-03-07
656,Keppelland,173,Keppelland 173,omgevingsvergunning,2023-02-25
657,Achterdijk,84,Achterdijk 84,alcoholvergunning,2025-11-05
658,Berkenwoudestraat,186,Berkenwoudestraat 186,terrasvergunning,2025-03-07
659,Sierbloem,23,Sierbloem 23,terrasvergunning,2027-02-27
660,Jan Trooststraat,176,Jan Trooststraat 176,alcoholvergunning,2025-12-12
661,Herastraat,18,Herastraat 18,nachthoreca,2026-01-05
662,Vosbergendam,35,Vosbergendam 35,omgevingsvergunning,2026-01-02
663,Arabische tuin,41,Arabische tuin 41,alcoholvergunning,2026-07-07
664,Willem Ruyslaan,44,Willem Ruyslaan 44,omgevingsvergunning,2024-11-12
665,Koevordermeer,151,Koevordermeer 151,terrasvergunning,2024-03-29
666,Rutgersstraat,138,Rutgersstraat 138,terrasvergunning,2026-10-30
667,Beiroetstraat,22,Beiroetstraat 22,alcoholvergunning,2024-06-19
668,Eemhavenstraat,2,Eemhavenstraat 2,terrasvergunning,2023-04-12
669,Ramlehweg,55,Ramlehweg 55,terrasvergunning,2022-09-27
670,Ottergracht,57,Ottergracht 57,exploitatievergunning,2025-12-25
671,RDM-straat,83,RDM-straat 83,nachthoreca,2023-10-28
672,De Bazelstraat,89,De Bazelstraat 89,exploitatievergunning,2026-06-16
673,Hoogaarspad,196,Hoogaarspad 196,exploitatievergunning,2027-03-25
674,De Graeffstraat,40,De Graeffstraat 40,nachthoreca,2025-01-16
675,Blankaartpad,104,Blankaartpad 104,nachthoreca,2026-11-07
676,Nieuwenoord,24,Nieuwenoord 24,terrasvergunning,2023-05-21
677,Blokfluit,76,Blokfluit 76,exploitatievergunning,2022-11-06
678,Nozemanstraat,138,Nozemanstraat 138,alcoholvergunning,2022-06-20
679,Eemlandweg,134,Eemlandweg 134,omgevingsvergunning,2023-09-20
680,A.B.N. Davidsplein,62,A.B.N. Davidsplein 62,alcoholvergunning,2026-12-10
681,Klein-Coolstraat,27,Klein-Coolstraat 27,terrasvergunning,2025-11-23
682,Lyonstraat,141,Lyonstraat 141,nachthoreca,2024-10-25
683,Pijnackerplein,161,Pijnackerplein 161,exploitatievergunning,2026-09-25
684,Willem Nagellaan,127,Willem Nagellaan 127,alcoholvergunning,2025-08-13
685,Prinses Margrietlaan,106,Prinses Margrietlaan 106,alcoholvergunning,2026-07-24
686,Langegeer,103,Langegeer 103,terrasvergunning,2025-02-02
687,Brouwerijstraat,47,Brouwerijstraat 47,terrasvergunning,2024-10-02
688,Koningsveldestraat,191,Koningsveldestraat 191,omgevingsvergunning,2025-10-05
689,Soetendaalsekade,131,Soetendaalsekade 131,omgevingsvergunning,2026-04-28
690,Paul van Ostaijenstraat,191,Paul van Ostaijenstraat 191,nachthoreca,2025-09-22
691,Jinnahsingel,144,Jinnahsingel 144,alcoholvergunning,2025-12-18
692,Mahoniestraat,79,Mahoniestraat 79,omgevingsvergunning,2023-11-23
693,Tripolihof,3,Tripolihof 3,exploitatievergunning,2022-10-29
694,Helsinkipad,120,Helsinkipad 120,exploitatievergunning,2025-10-22
695,Hendrik van Bontsfortstraat,106,Hendrik van Bontsfortstraat 106,nachthoreca,2025-06-26
696,Olympiaweg,192,Olympiaweg 192,exploitatievergunning,2026-10-04
